timestamp,algorithm_name,cost_function,use_threshold,budget,num_nodes,num_edges,seed_set,num_seeds,total_cost,execution_time,additional_info
2025-06-15T11:21:00.909474,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,1523,4039,88234,"[123, 211, 481, 483, 484, 713, 730, 896, 947, 1079, 1083, 1230, 1275, 1341, 1383, 1388, 1390, 1398, 1425, 1427, 1551, 1598, 1610, 1620, 1637, 1683, 1684, 1714, 1729, 1813, 1827, 1861, 1888, 1912, 1926, 1941, 1959, 1970, 1993, 2069, 2143, 2152, 2161, 2169, 2173, 2206, 2214, 2224, 2229, 2292, 2313, 2320, 2323, 2334, 2361, 2381, 2404, 2434, 2446, 2501, 2543, 2576, 2579, 2615, 2616, 2617, 2629, 2636, 2660, 2749, 2799, 2849, 2850, 2863, 2887, 2987, 2991, 3084, 3108, 3114, 3247, 3288, 3304, 3325, 3366, 3397, 3434, 3610, 3900, 3969, 3982]",91,1424,0.18036103248596191,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:21:01.050152,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,1623,4039,88234,"[123, 211, 481, 483, 484, 713, 730, 896, 947, 1079, 1083, 1230, 1275, 1341, 1383, 1388, 1390, 1398, 1425, 1427, 1551, 1598, 1610, 1620, 1637, 1683, 1684, 1714, 1729, 1813, 1827, 1861, 1888, 1912, 1926, 1941, 1959, 1970, 1993, 2069, 2143, 2152, 2161, 2169, 2173, 2206, 2214, 2224, 2229, 2292, 2313, 2320, 2323, 2334, 2361, 2381, 2404, 2434, 2446, 2501, 2543, 2576, 2579, 2615, 2616, 2617, 2629, 2636, 2660, 2749, 2799, 2849, 2850, 2863, 2887, 2987, 2991, 3084, 3108, 3114, 3247, 3288, 3304, 3325, 3366, 3397, 3434, 3610, 3900, 3969, 3982]",91,1424,0.138685941696167,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:21:01.341617,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,1723,4039,88234,"[107, 123, 211, 481, 483, 484, 713, 730, 896, 947, 1079, 1083, 1230, 1275, 1341, 1383, 1388, 1390, 1398, 1425, 1427, 1551, 1598, 1610, 1620, 1637, 1683, 1684, 1714, 1729, 1813, 1827, 1861, 1888, 1912, 1926, 1941, 1959, 1970, 1993, 2069, 2143, 2152, 2161, 2169, 2173, 2206, 2214, 2224, 2229, 2292, 2313, 2320, 2323, 2334, 2361, 2381, 2404, 2434, 2446, 2501, 2543, 2576, 2579, 2615, 2616, 2617, 2629, 2636, 2660, 2749, 2799, 2849, 2850, 2863, 2887, 2987, 2991, 3084, 3108, 3114, 3247, 3288, 3304, 3325, 3366, 3397, 3434, 3610, 3900, 3969, 3982]",92,1715,0.2864806652069092,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:21:01.781874,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,1823,4039,88234,"[107, 123, 211, 481, 483, 484, 713, 730, 896, 947, 1028, 1079, 1083, 1191, 1230, 1275, 1341, 1383, 1388, 1390, 1398, 1425, 1427, 1551, 1598, 1610, 1620, 1637, 1683, 1684, 1714, 1729, 1813, 1827, 1861, 1888, 1912, 1926, 1941, 1959, 1970, 1993, 2069, 2143, 2152, 2161, 2169, 2173, 2206, 2214, 2224, 2229, 2292, 2313, 2320, 2323, 2334, 2361, 2381, 2404, 2434, 2446, 2501, 2543, 2576, 2579, 2615, 2616, 2617, 2629, 2636, 2660, 2749, 2799, 2849, 2850, 2863, 2887, 2987, 2991, 3004, 3084, 3108, 3114, 3247, 3288, 3304, 3325, 3366, 3397, 3434, 3610, 3900, 3969, 3982]",95,1780,0.4369933605194092,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:21:02.048941,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,1923,4039,88234,"[107, 123, 211, 277, 481, 483, 484, 713, 730, 800, 896, 947, 1028, 1079, 1083, 1191, 1230, 1275, 1341, 1383, 1388, 1390, 1398, 1425, 1427, 1551, 1598, 1610, 1620, 1637, 1683, 1684, 1714, 1729, 1813, 1827, 1861, 1888, 1912, 1926, 1941, 1959, 1970, 1993, 2020, 2069, 2143, 2152, 2161, 2169, 2173, 2206, 2214, 2224, 2229, 2292, 2313, 2320, 2323, 2334, 2361, 2381, 2404, 2434, 2446, 2501, 2543, 2576, 2579, 2615, 2616, 2617, 2629, 2636, 2660, 2749, 2799, 2849, 2850, 2863, 2887, 2913, 2987, 2991, 3004, 3084, 3108, 3114, 3247, 3288, 3304, 3325, 3366, 3397, 3434, 3610, 3633, 3900, 3969, 3980, 3982]",101,1917,0.26249194145202637,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:21:02.230484,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,2023,4039,88234,"[107, 123, 211, 277, 481, 483, 484, 713, 730, 800, 896, 947, 1028, 1079, 1083, 1191, 1230, 1275, 1341, 1383, 1388, 1390, 1398, 1425, 1427, 1551, 1598, 1610, 1620, 1637, 1683, 1684, 1714, 1729, 1813, 1827, 1861, 1888, 1912, 1926, 1941, 1959, 1970, 1993, 2020, 2069, 2103, 2143, 2152, 2161, 2169, 2173, 2206, 2214, 2224, 2229, 2292, 2313, 2320, 2323, 2334, 2361, 2381, 2404, 2434, 2446, 2501, 2543, 2576, 2579, 2615, 2616, 2617, 2629, 2636, 2660, 2749, 2799, 2849, 2850, 2863, 2887, 2913, 2987, 2991, 3004, 3084, 3108, 3114, 3247, 3288, 3304, 3325, 3366, 3397, 3434, 3610, 3633, 3900, 3969, 3980, 3982]",102,1974,0.1795494556427002,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:21:02.542896,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,2123,4039,88234,"[107, 123, 211, 277, 348, 481, 483, 484, 713, 730, 800, 896, 947, 1028, 1079, 1083, 1191, 1230, 1275, 1341, 1383, 1388, 1390, 1398, 1425, 1427, 1551, 1598, 1610, 1620, 1637, 1683, 1684, 1714, 1729, 1813, 1827, 1861, 1888, 1912, 1926, 1941, 1959, 1970, 1993, 2020, 2069, 2103, 2143, 2152, 2161, 2169, 2173, 2206, 2214, 2220, 2224, 2229, 2292, 2313, 2320, 2323, 2334, 2361, 2381, 2404, 2434, 2446, 2501, 2543, 2576, 2579, 2615, 2616, 2617, 2629, 2636, 2660, 2749, 2799, 2849, 2850, 2863, 2887, 2913, 2987, 2991, 3004, 3084, 3108, 3114, 3247, 3288, 3304, 3325, 3366, 3397, 3434, 3610, 3633, 3900, 3969, 3980, 3982]",104,2106,0.30936741828918457,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:21:02.871338,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,2223,4039,88234,"[107, 123, 211, 277, 348, 481, 483, 484, 713, 730, 800, 896, 947, 1028, 1079, 1083, 1191, 1230, 1275, 1341, 1383, 1388, 1390, 1398, 1425, 1427, 1551, 1598, 1610, 1620, 1637, 1683, 1684, 1714, 1729, 1813, 1827, 1861, 1888, 1912, 1926, 1941, 1959, 1970, 1993, 2005, 2020, 2069, 2103, 2143, 2152, 2161, 2169, 2173, 2206, 2214, 2220, 2224, 2229, 2257, 2292, 2313, 2320, 2323, 2334, 2361, 2381, 2404, 2434, 2446, 2501, 2543, 2576, 2579, 2615, 2616, 2617, 2629, 2636, 2660, 2749, 2799, 2849, 2850, 2863, 2887, 2913, 2987, 2991, 3004, 3084, 3108, 3114, 3247, 3288, 3304, 3325, 3366, 3397, 3434, 3610, 3633, 3900, 3969, 3980, 3982]",106,2204,0.32544469833374023,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:21:03.223688,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,2323,4039,88234,"[107, 123, 211, 277, 348, 481, 483, 484, 713, 730, 800, 896, 947, 1028, 1079, 1083, 1126, 1191, 1230, 1275, 1336, 1341, 1383, 1388, 1390, 1398, 1425, 1427, 1551, 1598, 1610, 1620, 1637, 1683, 1684, 1714, 1729, 1813, 1827, 1861, 1888, 1912, 1926, 1941, 1959, 1970, 1993, 2005, 2020, 2069, 2103, 2143, 2152, 2161, 2169, 2173, 2206, 2214, 2220, 2224, 2229, 2257, 2292, 2313, 2320, 2323, 2334, 2361, 2381, 2404, 2434, 2446, 2501, 2543, 2576, 2579, 2615, 2616, 2617, 2629, 2636, 2660, 2749, 2799, 2849, 2850, 2863, 2887, 2913, 2987, 2991, 3004, 3021, 3084, 3108, 3114, 3247, 3288, 3304, 3325, 3366, 3397, 3434, 3610, 3633, 3900, 3969, 3980, 3982]",109,2301,0.34688377380371094,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:21:03.496240,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,2423,4039,88234,"[107, 123, 211, 277, 348, 481, 483, 484, 525, 713, 730, 800, 896, 947, 1028, 1079, 1083, 1126, 1191, 1230, 1275, 1336, 1341, 1383, 1388, 1390, 1398, 1425, 1427, 1456, 1551, 1598, 1610, 1620, 1637, 1683, 1684, 1714, 1729, 1813, 1827, 1861, 1888, 1912, 1926, 1941, 1959, 1970, 1993, 2005, 2020, 2069, 2103, 2143, 2152, 2161, 2169, 2173, 2206, 2214, 2220, 2224, 2229, 2257, 2292, 2313, 2320, 2323, 2334, 2361, 2381, 2404, 2434, 2446, 2501, 2543, 2576, 2579, 2615, 2616, 2617, 2629, 2636, 2660, 2749, 2799, 2849, 2850, 2863, 2887, 2913, 2987, 2991, 3004, 3021, 3084, 3108, 3114, 3247, 3288, 3304, 3325, 3366, 3397, 3434, 3610, 3633, 3900, 3969, 3980, 3982]",111,2368,0.2695598602294922,"{""note"": ""Running on facebook_combined.txt with cost2""}"
