timestamp,algorithm_name,cost_function,use_threshold,budget,num_nodes,num_edges,seed_set,num_seeds,total_cost,execution_time,additional_info
2025-06-15T16:09:06.513001,WTSS,"cost2: random int in [min(cost1), max(cost1)]",True,523,4039,88234,"[192, 663, 774, 782, 888, 2792, 3919, 4016]",8,523,2.073301315307617,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T16:09:07.753919,WTSS,"cost2: random int in [min(cost1), max(cost1)]",True,623,4039,88234,"[192, 782, 884, 888, 1208, 2792, 3919, 4016]",8,623,1.2390038967132568,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T16:09:08.548396,WTSS,"cost2: random int in [min(cost1), max(cost1)]",True,723,4039,88234,"[192, 1027, 1208, 2792, 2902, 4016]",6,723,0.7855501174926758,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T16:09:09.777703,WTSS,"cost2: random int in [min(cost1), max(cost1)]",True,823,4039,88234,"[192, 782, 888, 1027, 1208, 2792, 3742, 3919, 3986, 4016]",10,823,1.2273170948028564,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T16:09:11.866207,WTSS,"cost2: random int in [min(cost1), max(cost1)]",True,923,4039,88234,"[192, 663, 774, 782, 870, 888, 1027, 1208, 2792, 3742, 3919, 4016]",12,923,2.086508274078369,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T16:09:13.720806,WTSS,"cost2: random int in [min(cost1), max(cost1)]",True,1023,4039,88234,"[192, 663, 782, 870, 888, 1027, 1208, 2792, 3055, 3742, 3919, 4016]",12,1023,1.8526065349578857,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T16:09:15.587006,WTSS,"cost2: random int in [min(cost1), max(cost1)]",True,1123,4039,88234,"[89, 192, 663, 870, 888, 1027, 1208, 2792, 3055, 3742, 3986, 4016]",12,1123,1.8642284870147705,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T16:09:17.619981,WTSS,"cost2: random int in [min(cost1), max(cost1)]",True,1223,4039,88234,"[192, 663, 774, 782, 870, 884, 888, 1027, 1208, 2792, 3055, 3147, 3742, 3919, 3986, 4016]",16,1223,2.0309810638427734,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T16:09:18.162481,WTSS,"cost2: random int in [min(cost1), max(cost1)]",True,1323,4039,88234,"[89, 99, 192, 870, 1027, 1208, 2792, 3055, 3147, 3742, 4016]",11,1323,0.5404996871948242,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T16:09:20.236271,WTSS,"cost2: random int in [min(cost1), max(cost1)]",True,1423,4039,88234,"[89, 99, 192, 663, 774, 782, 870, 888, 910, 1027, 1208, 2792, 3055, 3147, 3742, 3919, 3986, 4016]",18,1423,2.0717968940734863,"{""note"": ""Running on facebook_combined.txt with cost2""}"
